	0	1
0	16.643639	-9.56368
1	15.927093	-10.187646
2	15.687819	-10.44371
3	14.694263	-11.613956
4	12.673816	-13.17987
5	12.047231	-13.274153
6	11.419791	-13.711971
7	5.814985	-18.792685
8	5.3978333	-18.977621
9	4.7460494	-20.03797
10	1.4263103	-22.683685
11	-0.7433061	-23.36175
12	-1.705791	-23.195107
13	-4.0364504	-22.06473
14	-2.6680906	-9.662646
15	-8.041012	-16.451962
16	-7.629802	-17.65183
17	-7.6903353	-17.599333
18	-11.239751	-21.714262
19	-12.665704	-20.855793
20	-14.083716	-20.155226
21	-14.353131	-20.0886
22	-16.01	-20.107603
23	-16.096758	-20.23159
24	-17.2245	-23.572895
25	-17.868372	-24.753185
26	-16.835037	-26.274094
27	-17.018814	-26.467329
28	-19.986813	-24.986502
29	-21.997797	-24.528938
30	-22.651129	-22.871218
31	-23.49353	-22.735214
32	-26.171257	-24.738832
33	-27.136356	-24.83744
34	-35.358738	-22.595009
35	-36.359657	-22.136528
36	-37.361687	-20.332718
37	-38.14483	-18.922985
38	-39.68102	-17.909908
39	-40.179527	-17.224928
40	-40.71247	-18.010233
41	-40.88277	-18.823656
42	-47.891434	-19.322212
43	-49.008907	-18.669107
44	-49.32554	-18.536821
45	-45.480007	-10.592473
46	-44.185863	-11.598405
47	-43.08632	-11.888514
48	-43.01133	-12.018826
49	-42.814438	-11.574379
50	-43.534702	-9.190358
51	-43.004436	-8.175099
52	-42.346077	-8.755318
53	-39.091587	-8.821899
54	-38.286407	-9.021485
55	-36.908504	-9.7418585
56	-37.12771	-10.865267
57	-36.54907	-11.888318
58	-37.925915	-11.759549
59	-40.966564	-10.566194
60	-43.466045	-4.6583905
61	-42.4772	-5.9128294
62	-42.450974	-6.201275
63	-41.782207	-6.332684
64	-40.928802	-7.2464604
65	-39.8889	-15.344424
66	-40.119312	-16.130678
67	-40.48038	-17.61633
68	-43.382935	-18.470633
69	-46.90464	-18.972786
70	-47.89492	-18.511864
71	-44.685467	-16.11084
72	-45.50044	-13.108646
73	-45.336426	-13.376398
74	-46.07404	-14.498694
75	-51.47766	-14.458659
76	-51.803516	-13.834633
77	-52.38075	-11.571881
78	-52.871307	-10.608598
79	-54.682484	-9.202926
80	-54.83014	-9.636804
81	-54.772823	-10.983538
82	-54.05003	-11.175533
83	-53.119152	-5.7228045
84	-50.652847	-2.1692114
85	-50.14516	-1.2454576
86	-51.66352	-0.024462651
87	-51.917686	-0.9985918
88	-52.126522	-1.6591345
89	-52.62324	-2.2131524
90	-53.6021	-2.2400873
91	-45.345524	-5.692111
92	-44.41431	-5.9586363
93	-43.159924	-6.2206297
94	-40.143993	-7.5799847
95	-38.357697	-8.285895
96	-36.347347	-8.645118
97	-35.673847	-8.891263
98	-35.06987	-8.902342
99	-34.180153	-8.259978
100	-41.175026	-2.0842476
101	-41.529083	-2.1548867
102	-41.615807	-2.3864276
103	-40.770363	-11.525486
104	-39.69375	-13.394369
105	-39.52655	-13.922694
106	-39.19036	-19.268824
107	-39.42526	-19.662611
108	-30.774801	-21.805984
109	-31.023373	-21.899391
110	-32.960392	-24.003555
111	-33.770947	-24.078962
112	-46.094822	-20.018236
113	-46.883743	-19.510704
114	-50.348915	-17.103403
115	-51.877483	-14.336015
116	-52.12683	-11.884786
117	-51.762524	-10.0853615
118	-49.564598	-5.13918
119	-49.367165	-3.26698
120	-49.06041	-2.9424088
121	-48.423832	-1.0684596
122	-47.339344	-0.11663541
123	-46.96216	0.5088942
124	-46.019382	0.660062
125	-45.802494	0.4770613
126	-44.54136	0.54209644
127	-43.48436	-0.1260395
128	-36.158867	-3.3874986
129	-35.880127	-3.6532419
130	-32.231625	-4.9177837
131	-28.248674	-8.649147
132	-27.15549	-9.38558
133	-23.833721	-9.784312
134	-23.537485	-10.294801
135	-23.388737	-12.417905
136	-24.561563	-11.596718
137	-24.499548	-11.421838
138	-23.68673	-11.858123
139	-22.299688	-12.384375
140	-19.851667	-11.224704
141	-18.773844	-10.380293
142	-19.275888	-10.344404
143	-18.259369	-11.978606
144	-17.504072	-16.920702
145	-12.993973	-24.452148
146	-14.099125	-23.547775
147	-15.500349	-22.335594
148	-18.924597	-20.035109
149	-19.515457	-19.888676
150	-19.54412	-20.129055
151	-19.64954	-21.57585
152	-24.966051	-26.218273
153	-27.803389	-26.761581
154	-28.255407	-25.747984
155	-28.8158	-22.628466
156	-29.009275	-21.435522
157	-22.770508	-21.929298
158	-23.372683	-21.786417
159	-31.35346	-19.656206
160	-30.989126	-19.250422
161	-34.772877	-20.996752
162	-35.248695	-20.799824
163	-30.915197	-9.409724
164	-30.33857	-9.235772
165	-29.667318	-8.111199
166	-28.292875	-7.216715
167	-23.333923	-6.4322
168	-22.984312	-6.37996
169	-21.366894	-4.956187
170	-18.527996	-2.8915946
171	-17.017242	-1.2728611
172	-14.1199465	-2.4544475
173	-14.943472	-1.0759054
174	-11.434447	-1.7057146
175	-8.615972	-0.6730093
176	-7.450003	-0.79942137
177	-4.7318244	-1.1467841
178	-4.9243402	-1.4947947
179	0.42318597	-2.5706563
180	2.5900958	-1.8655645
181	3.6439931	-0.9843162
182	6.0269732	-1.8368332
183	8.809069	-1.848359
184	9.8968935	-3.0853918
185	10.189397	-3.9569185
186	12.112229	-9.967132
187	12.472938	-11.962442
188	12.068612	-11.611425
189	10.939793	-11.469415
190	10.376773	-10.039997
191	9.664981	-9.170353
192	9.798235	-9.654429
193	10.148339	-10.017656
194	5.106394	-7.2405133
195	4.088019	-6.6775537
196	5.2761655	-4.822862
197	3.3930364	-2.6825447
198	3.6614194	-2.555961
199	3.7420988	-2.728603
200	5.6453557	-14.632082
201	6.0290794	-14.838372
202	5.95853	-14.900365
203	5.276559	-14.610366
204	4.68129	-14.565645
205	4.128746	-14.019477
206	3.8458853	-14.518557
207	1.9704229	-17.907839
208	2.4862237	-18.459944
209	-2.3190248	-24.051987
210	-2.7073517	-23.735628
211	-2.895828	-23.40957
212	-5.5535088	-22.997849
213	-7.334815	-22.513067
214	-12.6161995	-8.144405
215	-12.481472	-7.894239
216	-11.744966	-7.0935307
217	-9.934706	-5.069517
218	-9.51843	-4.667018
219	-7.013666	-5.195295
220	-6.054955	-6.362834
221	-18.041517	-8.535312
222	-23.363808	7.0042763
223	-23.815977	6.509868
224	-24.486238	5.8287334
225	-26.27705	3.870669
226	-26.315826	2.55401
227	-26.34709	2.3903968
228	-27.216606	1.1426018
229	-10.261889	11.09254
230	-10.268895	11.687998
231	-10.450004	11.940616
232	-9.596077	13.793535
233	-36.978096	6.644474
234	-59.322563	8.910962
235	-59.33245	8.54413
