Term,P_anew,P_SD,A_anew,A_SD,D_anew,D_SD
Bold,0.45,0.4025,0.15,0.5525,0.4175,0.4525
Useful,0.535,0.4,-0.185,0.6175,0.2325,0.525
Mighty,0.385,0.5475,0.1525,0.595,0.5575,0.5275
Kind,0.6475,0.4175,-0.135,0.6375,0.2375,0.4825
Admired,0.685,0.46,0.2775,0.59,0.6325,0.485
Proud,0.7575,0.39,0.14,0.7525,0.435,0.6825
Arrogant,-0.3275,0.6,0.1625,0.5575,0.035,0.6775
Inspired,0.5375,0.4625,0.255,0.6675,0.4175,0.5775
Aggressive,0.025,0.42,0.2075,0.5825,0.1475,0.6
Strong,0.5275,0.37,0.23,0.57,0.48,0.6075
Dignified,0.525,0.315,-0.22,0.5725,0.28,0.6
Powerful,0.46,0.45,0.2075,0.6725,0.5475,0.63
Elated,0.6125,0.4425,0.3025,0.575,0.1325,0.5875
Hopeful,0.525,0.365,0.195,0.5225,0.1025,0.48
Triumphant,0.955,0.1825,0.445,0.645,0.4875,0.6375
Joyful,0.805,0.305,0.245,0.635,0.4,0.45
Capable,0.54,0.3475,0.02,0.5175,0.3675,0.485
Lucky,0.7925,0.265,0.3825,0.585,0.2625,0.5625
Friendly,0.8575,0.27,0.0275,0.74,0.23,0.605
Masterful,0.5225,0.445,0.05,0.7125,0.545,0.64
Free,0.815,0.3275,0.0375,0.76,0.3375,0.6
Devoted,0.6025,0.3425,0.0575,0.5525,0.295,0.59
Aroused,0.7425,0.25,0.4075,0.675,0.285,0.4925
Happy,0.8025,0.455,0.3725,0.6925,0.4075,0.6075
Carefree,0.635,0.345,-0.2075,0.71,0.195,0.625
Vigorous,0.4475,0.385,0.225,0.665,0.1025,0.555
Alert,0.3,0.44,0.4625,0.6325,0.24,0.56
Controlling,-0.3,0.5625,0.275,0.5475,0.0425,0.7875
Enjoyment,0.7,0.3,0.05,0.68,0.365,0.4425
Serious,0.02,0.3975,-0.25,0.4675,0.03,0.4125
Thankful,0.4725,0.5725,-0.165,0.5775,0.08,0.5
Respectful,0.555,0.3175,-0.1,0.6675,0.1675,0.595
Loved,0.91,0.1775,0.345,0.67,0.405,0.6325
Grateful,0.5925,0.2425,-0.105,0.535,0.295,0.4425
Anxious,-0.0475,0.495,0.48,0.4525,0.0825,0.455
Impressed,0.5825,0.46,0.105,0.6625,0.1275,0.5525
Surprised,0.6175,0.39,0.6175,0.5225,0.2775,0.5475
Wonder,0.2575,0.395,0,0.5575,0.08,0.5425
Awed,0.425,0.345,0.185,0.5775,0.075,0.5075
