Number,Term,N,Pleasure-mean,Pleasure-sd,Arousal-mean,Arousal-sd,Dominance-mean,Dominance-sd
1,Bold,27,0.44,0.32,0.61,0.24,0.66,0.30
2,Useful,27,0.70,0.20,0.44,0.28,0.47,0.40
3,Mighty,27,0.48,0.37,0.51,0.28,0.69,0.31
4,Kind,27,0.73,0.22,0.19,0.32,0.57,0.27
5,Self-satisfied,27,0.86,0.10,0.20,0.40,0.62,0.31
6,Admired,29,0.81,0.21,0.44,0.30,0.51,0.34
7,Proud,29,0.77,0.21,0.38,0.34,0.65,0.33
8,Interested,29,0.64,0.20,0.51,0.21,0.17,0.40
9,Arrogant,29,0.00,0.51,0.34,0.44,0.48,0.34
10,Inspired,29,0.71,0.30,0.63,0.21,0.34,0.55
11,Excited,29,0.62,0.25,0.75,0.20,0.38,0.29
12,Influential,28,0.68,0.23,0.40,0.33,0.75,0.18
13,Aggressive,28,0.41,0.30,0.63,0.25,0.62,0.24
14,Strong,28,0.58,0.24,0.48,0.30,0.62,0.30
15,Dignified,28,0.55,0.27,0.22,0.40,0.61,0.30
16,Powerful,28,0.54,0.26,0.45,0.36,0.73,0.25
17,Elated,28,0.50,0.47,0.42,0.14,0.23,0.36
18,Hopeful,29,0.51,0.30,0.23,0.33,0.14,0.41
19,Triumphant,29,0.69,0.23,0.57,0.19,0.63,0.26
20,Joyful,29,0.76,0.22,0.48,0.26,0.35,0.31
21,Capable,29,0.70,0.24,0.28,0.27,0.61,0.31
22,Lucky,30,0.71,0.19,0.48,0.30,0.37,0.29
23,Responsible,30,0.35,0.29,0.38,0.26,0.49,0.37
24,Friendly,30,0.69,0.23,0.35,0.28,0.30,0.27
25,Masterful,30,0.58,0.25,0.44,0.27,0.69,0.25
26,Free,30,0.81,0.14,0.24,0.38,0.46,0.33
27,Devoted,30,0.49,0.25,0.17,0.27,0.10,0.37
28,Domineering,27,0.23,0.37,0.40,0.21,0.58,0.26
29,Aroused,30,0.24,0.28,0.57,0.26,0.22,0.33
30,Concentrating,28,0.42,0.25,0.28,0.27,0.39,0.31
31,Happy,29,0.81,0.21,0.51,0.26,0.46,0.38
32,Egotistical,29,0.24,0.34,0.32,0.25,0.50,0.31
33,Carefree,29,0.78,0.21,0.25,0.39,0.41,0.31
34,Affectionate,29,0.64,0.26,0.35,0.34,0.24,0.40
35,Vigorous,30,0.58,0.22,0.61,0.23,0.49,0.24
36,Activated,30,0.42,0.26,0.58,0.21,0.38,0.28
37,Alert,30,0.49,0.25,0.57,0.20,0.45,0.26
38,Alone with responsibility,30,0.33,0.34,0.34,0.37,0.48,0.36
39,Controlling,30,0.47,0.26,0.34,0.23,0.66,0.25
40,Proud and lonely,27,0.01,0.43,0.02,0.32,0.26,0.40
41,Enjoyment,30,0.77,0.17,0.44,0.26,0.42,0.29
42,Serious,30,0.27,0.22,0.24,0.22,0.42,0.27
43,Cooperative,31,0.39,0.32,0.13,0.27,0.03,0.34
44,Thankful,27,0.61,0.25,0.10,0.34,-0.13,0.35
45,Respectful,27,0.38,0.39,0.13,0.29,-0.08,0.49
46,Appreciative,27,0.55,0.26,0.07,0.30,-0.14,0.35
47,Loved,28,0.87,0.17,0.54,0.26,-0.18,0.30
48,Grateful,28,0.64,0.23,0.16,0.22,-0.21,0.34
49,In love,28,0.82,0.17,0.65,0.24,-0.05,0.37
50,Anxious,28,0.01,0.45,0.59,0.31,-0.15,0.32
51,Impressed,28,0.41,0.26,0.30,0.25,-0.32,0.34
52,Surprised,29,0.40,0.30,0.67,0.27,-0.13,0.38
53,Sexually excited,29,0.58,0.26,0.62,0.20,-0.01,0.43
54,Wonder,30,0.27,0.37,0.24,0.35,-0.17,0.26
55,Fascinated,29,0.55,0.22,0.51,0.23,-0.07,0.35
56,Awed,30,0.18,0.34,0.40,0.30,-0.38,0.21
57,Overwhelmed,30,0.14,0.39,0.45,0.34,-0.24,0.32
58,Curious,28,0.22,0.30,0.62,0.20,-0.01,0.34
59,Relaxed,27,0.68,0.30,-0.46,0.38,0.06,0.49
60,Untroubled,27,0.79,0.25,-0.01,0.46,0.33,0.39
61,Modest,29,0.27,0.34,-0.06,0.30,0.12,0.39
62,Secure,29,0.74,0.22,-0.13,0.32,0.03,0.37
63,Nonchalant,30,0.07,0.35,-0.25,0.31,0.11,0.33
64,Aloof,30,0.16,0.35,-0.01,0.30,0.25,0.32
65,Leisurely,30,0.58,0.35,-0.32,0.33,0.11,0.33
66,Reserved,30,0.01,0.37,-0.19,0.28,0.02,0.37
67,Protected,27,0.60,0.35,-0.22,0.37,-0.42,0.40
68,Consoled,27,0.29,0.50,-0.19,0.33,-0.28,0.38
69,Quiet,27,0.19,0.57,-0.40,0.21,-0.04,0.39
70,Sheltered,29,0.14,0.53,-0.36,0.32,-0.44,0.24
71,Humble,28,0.23,0.39,-0.28,0.24,-0.27,0.35
72,Solemn,29,0.03,0.39,-0.32,0.26,-0.11,0.33
73,Reverent,28,0.31,0.35,-0.08,0.26,-0.29,0.34
74,Astonished,30,0.16,0.26,0.88,0.19,-0.15,0.26
75,Disgusted,29,-0.60,0.20,0.35,0.41,0.11,0.34
76,Insolent,28,-0.26,0.43,0.21,0.44,0.20,0.31
77,Cruel,29,-0.45,0.35,0.48,0.32,0.42,0.32
78,Irritated,29,-0.58,0.16,0.40,0.37,0.01,0.40
79,Defiant,28,-0.16,0.30,0.54,0.37,0.32,0.42
80,Hate,28,-0.56,0.16,0.59,0.29,0.13,0.34
81,Hostile,29,-0.42,0.31,0.53,0.36,0.30,0.32
82,Angry,29,-0.51,0.20,0.59,0.33,0.25,0.39
83,Mildly annoyed,29,-0.28,0.16,0.17,0.28,0.04,0.31
84,Enraged,29,-0.44,0.25,0.72,0.29,0.32,0.44
85,Contempt,29,-0.23,0.39,0.31,0.33,0.18,0.29
86,Selfish,29,-0.34,0.31,0.09,0.33,0.31,0.43
87,Reprehensible,24,-0.09,0.36,0.11,0.24,0.06,0.32
88,Contemptuous,25,-0.24,0.26,0.31,0.31,0.21,0.32
89,Scornful,28,-0.35,0.21,0.35,0.27,0.29,0.32
90,Suspicious,29,-0.25,0.23,0.42,0.21,0.11,0.32
91,Skeptical,29,-0.22,0.28,0.21,0.25,0.03,0.33
92,Burdened with responsibility,30,-0.08,0.41,0.28,0.31,0.19,0.47
93,Cold anger,30,-0.43,0.29,0.67,0.27,0.34,0.44
94,Hostile but controlled,30,-0.24,0.31,0.42,0.35,0.09,0.38
95,Crushed,27,-0.69,0.50,0.03,0.47,-0.50,0.23
96,Frustrated,27,-0.64,0.18,0.52,0.37,-0.35,0.30
97,Distressed,27,-0.61,0.17,0.28,0.46,-0.36,0.21
98,Insecure,27,-0.57,0.34,0.14,0.42,-0.42,0.29
99,Humiliated,27,-0.63,0.18,0.43,0.34,-0.38,0.30
100,Hungry,29,-0.44,0.26,0.14,0.33,-0.21,0.27
101,Fearful,29,-0.64,0.20,0.60,0.32,-0.43,0.30
102,Terrified,29,-0.62,0.20,0.82,0.25,-0.43,0.34
103,Embattled,27,-0.37,0.24,0.40,0.42,-0.02,0.39
104,Helpless,29,-0.71,0.18,0.42,0.45,-0.51,0.32
105,Troubled,28,-0.63,0.16,0.16,0.40,-0.40,0.24
106,Startled,28,-0.09,0.34,0.65,0.29,-0.33,0.32
107,Anguished,29,-0.50,0.30,0.08,0.46,-0.20,0.34
108,Shamed,29,-0.57,0.23,0.01,0.46,-0.34,0.30
109,Displeased,29,-0.55,0.21,0.16,0.34,-0.05,0.41
110,Embarrassed,29,-0.46,0.30,0.54,0.26,-0.24,0.40
111,Upset,30,-0.63,0.20,0.30,0.39,-0.24,0.24
112,Defeated,30,-0.61,0.24,0.06,0.39,-0.32,0.23
113,Pain,29,-0.58,0.21,0.41,0.31,-0.34,0.28
114,Quietly indignant,26,-0.28,0.35,0.04,0.36,-0.16,0.40
115,Repentant,25,-0.06,0.55,0.06,0.32,-0.12,0.43
116,Sinful,28,-0.30,0.36,0.22,0.33,-0.01,0.41
117,Shy,29,-0.15,0.33,0.06,0.30,-0.34,0.28
118,Guilty,29,-0.57,0.19,0.28,0.38,-0.34,0.28
119,Weary with responsibility,30,-0.27,0.34,0.02,0.28,-0.01,0.35
120,Angry but detached,30,-0.42,0.22,0.28,0.41,-0.03,0.33
121,Confused,30,-0.53,0.20,0.27,0.29,-0.32,0.28
