Number,E-Word,S-Word,Val-Mn-All,Val-Sd-All,Aro-Mn-All,Aro-Sd-All,Dom-Mn-All,Dom-Sd-All,Nlett,Nsyll ,GClass,Freq ,Neigh,Fam ,Con ,Imag 
722,derelict,abandonado,1.68,1.00,5.88,2.21,3.11,2.03,10,5,V/A,27.86,1,UnAv,UnAv,UnAv
583,bees,abejas,3.18,1.85,6.59,2.05,3.42,2.32,6,3,N,0,0,UnAv,UnAv,UnAv
622,abortion,aborto,2.80,2.13,6.07,1.87,4.17,2.37,6,3,N,10,1,5.26,5.47,4.83
975,scorching,abrasador,2.46,1.58,6.00,2.16,4.00,2.19,9,4,A,0.71,0,UnAv,UnAv,UnAv
218,hug,abrazo,8.13,1.34,5.70,2.57,6.12,2.16,6,3,N,15.71,0,5.41,5.9,6.2
300,overwhelmed,abrumado,2.90,1.81,5.36,2.14,3.84,2.17,8,4,V/A,0,0,UnAv,UnAv,UnAv
623,absurd,absurdo,3.80,1.88,4.90,1.81,4.44,1.65,7,3,A/N,32.68,1,5.28,2.65,2.54
624,abundance,abundancia,6.80,1.75,5.40,2.21,5.68,1.80,10,4,N,12.86,0,5.43,3.38,4.67
48,bored,aburrido,2.33,1.68,2.90,1.94,4.78,2.24,8,4,V/A,12.86,1,UnAv,UnAv,UnAv
2,accident,accidente,1.32,0.82,7.58,1.83,2.62,2.29,9,4,N,34.82,1,6.35,4.59,5.86
989,sour,ácido,3.41,2.04,5.57,1.73,4.29,1.92,5,3,A/N,20.89,1,5.38,5.2,5.1
88,cozy,acogedor,7.64,1.47,4.37,2.62,6.08,2.16,8,4,A,2.32,0,UnAv,UnAv,UnAv
740,event,acontecimiento,5.99,1.69,5.81,1.99,5.01,1.65,14,5,N,20.6,0,5.33,2.39,3.47
948,pungent,acre,4.23,1.57,4.19,1.65,4.50,1.84,4,2,N,1.61,4,UnAv,UnAv,UnAv
4,activate,activar,6.00,1.41,6.50,1.95,5.82,1.73,7,3,V,2.14,0,UnAv,UnAv,UnAv
631,agreement,acuerdo,7.24,1.86,4.83,2.20,6.22,1.93,7,3,N,193.04,0,5.71,3.61,3.71
404,snuggle,acurrucarse,6.98,2.09,4.28,2.43,6.01,2.06,11,5,V,0.54,0,UnAv,UnAv,UnAv
581,addict,adicto,2.41,1.73,5.77,2.06,3.28,2.33,6,3,A/N,3.39,2,UnAv,UnAv,UnAv
488,wealthy,adinerado,6.21,1.71,5.58,1.92,5.69,2.14,9,5,A,0.36,1,UnAv,UnAv,UnAv
5,admired,admirado,7.33,1.50,6.53,1.96,5.48,2.18,8,4,V/A,0,0,UnAv,UnAv,UnAv
6,adorable,adorable,7.48,1.41,5.24,2.38,5.76,1.92,8,4,A,3.57,0,UnAv,UnAv,UnAv
546,adult,adulto,5.68,1.36,4.90,1.81,5.16,2.11,6,3,N,17.68,2,6.51,5.2,5.71
808,impair,afectar,3.48,1.90,5.61,2.00,3.77,1.97,7,3,V,9.29,1,6.08,3.58,3.16
7,affection,afecto,8.10,1.28,6.19,2.22,5.83,2.39,6,3,N,19.82,2,5.41,4.24,4.49
381,secure,afianzar,5.93,1.69,5.46,1.75,5.66,1.90,8,3,V,1.79,0,UnAv,UnAv,UnAv
127,distressed,afligido,1.96,1.31,4.41,2.31,3.93,2.10,8,4,V,0,0,UnAv,UnAv,UnAv
266,lucky,afortunado,7.71,1.50,6.26,2.01,5.28,2.53,10,5,A,5.71,1,UnAv,UnAv,UnAv
22,agility,agilidad,6.73,1.59,5.97,2.06,5.82,1.88,8,4,N,5.89,0,5.95,4.01,4.49
55,burdened,agobiado,2.06,1.49,6.73,2.33,3.48,2.18,8,4,V/A,2.14,1,UnAv,UnAv,UnAv
10,agony,agonía,1.74,1.10,6.20,2.38,2.94,2.25,6,4,N,11.25,1,3.57,3.9,4.69
193,grateful,agradecido,7.84,1.20,5.50,2.16,5.79,1.91,10,5,V,7.68,1,UnAv,UnAv,UnAv
27,assault,agresión,1.67,1.22,6.88,2.02,3.72,2.42,8,4,N,16.61,1,5.02,4.73,4.93
9,aggressive,agresivo,1.96,1.23,6.94,1.82,3.69,2.31,8,4,A,8.57,1,UnAv,UnAv,UnAv
486,water,agua,7.47,1.59,4.80,2.60,5.72,2.11,4,2,N,295.36,2,6.8,5.9,6.37
